issue,word,pages,count
61,firmly,"4,7,8",3
61,flanked,5,1
61,flour,7,1
61,flourished,6,1
61,flowers,8,1
61,fluid,7,1
61,folds,6,1
61,followed,"3,6",2
61,following,6,2
61,formally,5,1
61,fortunate,4,1
61,forum,2,1
61,found,"3,5",3
61,founded,6,1
61,founding,"4,5",2
61,frame,"7,8",2
61,frank,5,1
61,frayed,8,1
61,freehand,8,1
61,fretsaw,"7,9",2
61,fretwork,8,1
61,fretworker,8,1
61,friends,"4,7,9",4
61,frontal,5,1
61,frost,"2,4",2
61,fruit,3,1
61,ftably,9,1
61,fulfilling,5,1
61,games,4,1
61,gathering,3,1
61,gazin,1,1
61,geert,"2,3",4
61,generations,5,1
61,george,6,1
61,grade,8,1
61,grain,7,1
61,grandson,5,1
61,grange,10,1
61,grateful,3,1
61,gratitude,4,1
61,greater,8,1
61,griffon,4,1
61,guidance,4,1
61,gwent,9,1
61,handedly,4,1
61,hands,5,1
61,hannas,5,1
61,happened,6,1
61,happily,4,1
61,harder,8,1
61,hardest,3,1
61,harlow,10,1
61,having,"4,5",2
61,hawke,6,2
61,hestair,10,1
61,himself,"7,9",3
61,histories,10,1
61,hobbies,"7,8",5
61,hobby,6,1
61,holds,8,1
61,honour,4,1
61,hoovers,6,1
61,hoped,10,1
61,hosting,4,1
61,hound,4,1
61,housebound,6,1
61,housed,6,1
61,hudson,"3,5",2
61,humble,9,1
61,hundreds,9,1
61,hunting,4,1
61,iculars,7,1
61,ideal,4,1
61,ideas,3,1
61,identity,5,1
61,illustra,8,1
61,illustration,8,1
61,implement,3,1
61,inches,"5,6",2
61,incidents,7,1
61,included,3,2
61,including,10,2
61,inclusion,3,1
61,incomplete,9,1
61,incorporated,"5,8",2
61,information,"5,6,9",6
61,inscribed,5,1
61,inspired,6,1
61,installation,9,1
61,installed,9,1
61,instance,9,1
61,institute,6,1
61,inter,8,1
61,interested,"3,5,10",4
61,interesting,"3,6",4
61,interests,10,1
61,interlocking,"8,9",2
61,international,"2,4",2
61,intriguing,7,1
61,islington,5,1
61,issued,9,2
61,items,"3,6",3
61,james,5,2
61,jethard,4,1
61,jewellery,3,1
61,joined,5,1
61,jones,"2,3",3
61,judging,"4,6",2
61,justify,10,1
61,kathleen,6,2
61,kennel,4,1
61,kershaw,"2,3,4",4
61,kinds,7,1
